pk_blobs_00.blob_id,sentiment01.score
0,-0.254166667
1,-0.3
2,-0.3
3,-0.1
4,-0.15
5,-0.05
6,-0.15
7,-0.15
8,-0.1
9,0.1
10,0.075
11,-0.15
12,0
13,-0.123333333
14,-0.15
15,-0.15
16,-0.3
17,-0.246666667
18,-0.3
19,-0.3
20,-0.15
21,-0.15
22,-0.016666667
23,-0.15
24,-0.016666667
25,-0.3
26,-0.3
27,0
28,0.3
29,-0.15
30,-0.291666667
31,0.06
32,0.126666667
33,0
34,-0.35
35,-0.038888889
36,-0.3
37,-0.1
38,-0.1
39,-0.3
40,-0.183333333
41,-0.3
42,-0.043333333
43,0
44,-0.3
45,-0.15
46,0.122916667
47,-0.1
48,-0.3
49,-0.1
50,-0.3
51,-0.091666667
52,-0.05
53,-0.066666667
54,-0.15
55,-0.041666667
56,-0.1
57,0.066666667
58,-0.3
59,-0.025
60,-0.3
61,-0.0125
62,-0.3
63,-0.3
64,-0.3
65,-0.3
66,-0.15
67,-0.3
68,-0.17
69,0.202380952
70,-0.313888889
71,-0.033333333
72,-0.3
73,-0.15
74,-0.183333333
75,-0.170833333
76,-0.311111111
77,-0.075
78,-0.3
79,-0.15
80,-0.083333333
81,-0.1
82,-0.016666667
83,-0.3
84,0.013888889
85,-0.3
86,-0.1
87,-0.3
88,-0.121428571
89,-0.3
90,-0.155555556
91,-0.3
92,-0.15
93,-0.3
94,-0.1
95,-0.3
96,-0.0625
97,-0.3
98,-0.3
99,-0.3
100,-0.3
101,-0.074285714
102,-0.3
103,-0.125
104,-0.1
105,-0.15
106,-0.3
107,-0.3
108,-0.3
109,-0.3
110,-0.3
111,-0.3
112,-0.316666667
113,-0.15
114,0.275
115,0
116,-0.3
117,-0.025
118,-0.15
119,-0.3
120,-0.227380952
121,-0.4
122,-0.042857143
123,-0.2
124,-0.1
125,-0.3
126,-0.3
127,-0.316666667
128,0.047222222
129,-0.2
130,-0.3
131,-0.15
132,-0.075
133,0.0375
134,-0.15
135,0.2
136,-0.3
137,-0.1375
138,-0.3
139,-0.3125
140,-0.15
141,-0.4
142,-0.15
143,-0.3
144,-0.3
145,-0.3
146,-0.15
147,0
148,-0.166666667
149,-0.15
150,-0.3
151,-0.308333333
152,-0.133333333
153,-0.0875
154,0
155,-0.3
156,-0.141666667
157,-0.3
158,0.147222222
159,0
160,-0.15
161,0.2
162,-0.3
163,0.1125
164,-0.125
165,-0.125
166,-0.3
167,-0.025
168,-0.15
169,-0.3
170,-0.15
171,-0.3
172,-0.185714286
173,0.14
174,0.14
175,0.19
176,-0.3
177,-0.15
178,-0.3
179,-0.3
180,-0.2
181,-0.3
182,-0.071428571
183,-0.3
184,-0.3
185,-0.311111111
186,-0.170833333
187,-0.3
188,-0.13
189,-0.5
190,-0.3
191,-0.005555556
192,0
193,-0.15
194,-0.125
195,-0.125
196,-0.15
197,-0.025
198,-0.375
199,-0.15
200,-0.3
201,-0.3
202,0.7
203,0.366666667
204,0.275
205,0.4
206,-0.3
207,-0.1
208,0.15
209,-0.15
210,-0.025
211,0
212,0.016666667
213,0.016666667
214,-0.066666667
215,-0.066666667
216,0.0125
217,-0.3
218,0.27
219,-0.2125
220,0.1
221,-0.246666667
222,-0.15
223,-0.35
224,-0.3
225,-0.15
226,0.366666667
227,-0.225
228,-0.75
229,0.05
230,0
231,0.366666667
232,-0.125
233,-0.3
234,-0.3
235,-0.3
236,-0.3
237,-0.3
238,-0.3
239,-0.15
240,-0.3
241,-0.254761905
242,-0.3
243,-0.3
244,-0.3
245,-0.3
246,-0.3
247,-0.3
248,-0.3
249,-0.3
250,-0.3
251,-0.3
252,-0.3375
253,0
254,-0.205555556
255,-0.3
256,-0.125
257,0.2
258,-0.1
259,-0.3
260,-0.211111111
261,-0.15
262,-0.06
263,-0.05
264,-0.3
265,-0.1
266,-0.1
267,-0.2
268,-0.313888889
269,-0.3
270,-0.3
271,-0.420833333
272,-0.3
273,0.3375
274,-0.3
275,0.275
276,-0.3
277,0
278,-0.1
279,-0.0625
280,-0.3
281,-0.205555556
282,-0.15
283,-0.3
284,-0.116666667
285,-0.3
286,-0.289880952
287,0.7
288,0.275
289,0.308333333
290,0.266666667
291,-0.3
292,-0.15462963
293,-0.1
294,-0.22037037
295,-0.3
296,0.087037037
297,-0.3
298,-0.15
299,-0.3
300,-0.016666667
301,-0.205555556
302,-0.1
303,-0.025
304,-0.3
305,-0.3
306,0.1
307,-0.1
308,-0.3
309,-0.233333333
310,-0.209259259
311,0
312,-0.3
313,-0.103333333
314,-0.3
315,-0.3
